tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY,mesoZone
b2b-56120,36600,530330292061,43200,-122.24446469392976,47.40086371261762,530330292061.0
b2b-3045,2400,530610519121,43200,-122.11507974826218,47.80070883394138,530610519121.0
b2b-21941,33000,530530732003,43200,-122.24070890083723,46.779553754471394,530110424001.0
b2b-44719,32400,530330238011,43200,-122.19512341649516,47.60985419833947,530330238011.0
b2b-12915,40800,530330049002,43200,-122.35272177681968,47.65236915509596,530330049002.0
b2b-48661,36000,530530729061,43200,-122.55058881309056,47.05402215230165,530670127203.0
b2b-57943,24600,530530713051,43200,-122.39256782175384,47.16122922058602,530530713051.0
b2b-6184,34200,530610531021,43200,-122.18921914405846,48.15037009988364,530610531021.0
b2b-972,35400,530530732003,43200,-122.24070890083723,46.779553754471394,530110406082.0
b2b-19131,13800,530330308011,43200,-122.23378618060566,47.27619572328873,530330308011.0
b2b-49211,43800,530530616021,43200,-122.43295660160148,47.23570247122457,530530616021.0
b2b-12630,22800,530530729061,43200,-122.55058881309056,47.05402215230165,530670108005.0
b2b-47590,45000,530530626001,43200,-122.48238892206057,47.22086668279009,530530626001.0
b2b-10840,25200,530330292061,43200,-122.2235835356382,47.41965485155595,530330292061.0
b2b-46541,25200,530330304011,43200,-122.28102759783717,47.313668921631454,530330304011.0
b2b-23654,34800,530530718071,43200,-122.4885730312002,47.17231846271745,530530718071.0
b2b-11004,27600,530530732003,43200,-122.24070890083723,46.779553754471394,410510073001.0
b2b-317,27000,530610408002,43200,-122.20740921411743,47.97867025191261,530610408002.0
b2b-17243,29400,530530732003,43200,-122.24070890083723,46.779553754471394,410050229011.0
b2b-19795,9000,530330327032,43200,-121.82272353096056,47.52604322530868,530330327032.0
b2b-12440,21000,530330262001,43200,-122.2471516099098,47.448032176849786,530330262001.0
b2b-24915,29400,530330292061,43200,-122.23347195032264,47.42222558680258,530330292061.0
b2b-22246,30000,530330093003,43200,-122.32342734266214,47.56402091064877,530330093003.0
b2b-13740,32400,530330046002,43200,-122.33217641462576,47.66991090729224,530330046002.0
b2b-42263,34200,530610538034,43200,-121.67339954864956,47.85237091820796,530610538034.0
b2b-34414,23400,530610537001,43200,-121.19835975276254,48.11551522486367,20034.0
b2b-54617,36000,530330320111,43200,-122.0228827412936,47.36910189719495,530330320111.0
b2b-23922,30600,530330305011,43200,-122.22992751854756,47.34359358883764,530330305011.0
b2b-43215,31800,530530732004,43200,-122.24497881306635,46.91507326147312,20014.0
b2b-23485,32400,530530726032,43200,-122.77381803555257,47.184454997543526,530670109104.0
b2b-884,31800,530610524014,43200,-122.10228964826,47.92912512045848,530610524014.0
b2b-10929,27600,530530732003,43200,-122.24070890083723,46.779553754471394,410430304022.0
b2b-32520,28200,530330099004,43200,-122.3525522092276,47.56898547069012,530330099004.0
b2b-55479,22800,530530732004,43200,-122.24497881306635,46.91507326147312,20012.0
b2b-25452,31800,530330093002,43200,-122.33239672143424,47.58809148769889,530330093002.0
b2b-7073,29400,530610533024,43200,-122.34074561477298,48.27571154986818,530579526003.0
b2b-57136,21600,530350811002,43200,-122.65365560350207,47.5622531720294,530350811002.0
b2b-51234,18000,530330305011,43200,-122.22992751854756,47.34359358883764,530330305011.0
b2b-60665,47400,530530701001,43200,-121.54325521381088,47.1154042142104,20118.0
b2b-21283,31800,530530730061,43200,-122.3464165120801,46.92550674265296,530150003001.0
b2b-11904,35400,530530729061,43200,-122.55058881309056,47.05402215230165,530670126101.0
b2b-38699,24000,530610537001,43200,-121.19835975276254,48.11551522486367,20034.0
b2b-57453,29400,530330315022,43200,-121.96238438352478,47.20024957101764,530330315022.0
b2b-16221,46200,530330263001,43200,-122.30052958320069,47.51661766781898,530330263001.0
b2b-52369,22800,530330305011,43200,-122.22992751854756,47.34359358883764,530330305011.0
b2b-56569,20400,530610533014,43200,-122.36753432018811,48.24860364633015,530730002002.0
b2b-41887,32400,530530732004,43200,-122.24497881306635,46.91507326147312,20013.0
b2b-22195,29400,530530732003,43200,-122.24070890083723,46.779553754471394,410510073001.0
b2b-50683,30600,530530728001,43200,-122.6498514398432,47.10126306338846,530670122222.0
b2b-19666,28800,530330047002,43200,-122.37067948127628,47.66615963609463,530330047002.0
b2b-12780,49800,530330066001,43200,-122.32724058826471,47.63019426814261,530330066001.0
b2b-35672,28800,530530718071,43200,-122.48907260111817,47.17391246519728,530530718071.0
b2b-41796,14400,530330328003,43200,-121.0994620763074,47.70432736556717,530019504002.0
b2b-17920,34200,530330033004,43200,-122.38697811934333,47.6769199465592,530330033004.0
b2b-40661,27000,530330292061,43200,-122.2459874160508,47.40622966331869,530330292061.0
b2b-6451,40800,530330099004,43200,-122.3525522092276,47.56898547069012,530330099004.0
b2b-28071,23400,530530718071,43200,-122.49341371862204,47.173202238566496,530530718071.0
b2b-46382,30000,530530732003,43200,-122.24070890083723,46.779553754471394,530110410052.0
b2b-24482,27600,530539400101,43200,-122.30653677963012,47.21171695998523,530539400101.0
b2b-38897,22800,530330292061,43200,-122.2475340562908,47.42943357672947,530330292061.0
b2b-41713,33600,530530728001,43200,-122.6498514398432,47.10126306338846,530670122213.0
b2b-49050,33000,530530726032,43200,-122.77381803555257,47.184454997543526,530670109101.0
b2b-20220,24000,530530726032,43200,-122.77381803555257,47.184454997543526,530670110001.0
b2b-45608,40200,530330032003,43200,-122.39343452189117,47.66760576356018,530330032003.0
b2b-29543,34800,530330237001,43200,-122.1698806056832,47.62581212961685,530330237001.0
b2b-7370,34200,530530701001,43200,-121.54325521381088,47.1154042142104,20095.0
b2b-29015,28800,530530732003,43200,-122.24070890083723,46.779553754471394,530110403023.0
b2b-33114,35400,530530732004,43200,-122.24497881306635,46.91507326147312,20012.0
b2b-61116,31800,530610534001,43200,-122.1788962996328,48.270180743276,530730102002.0
b2b-46892,38400,530610514005,43200,-122.30116153554891,47.8179072591566,530610514005.0
b2b-60391,26400,530610537001,43200,-121.19835975276254,48.11551522486367,20061.0
b2b-30887,41400,530330293052,43200,-122.19724469213678,47.41724973671112,530330293052.0
b2b-30313,46800,530539400022,43200,-122.35897274041128,47.25278630859665,530539400022.0
b2b-50434,28800,530330262001,43200,-122.24717181350287,47.44771333927209,530330262001.0
b2b-11349,43800,530610419032,43200,-122.26846670034529,47.91993930152732,530610419032.0
b2b-6930,45000,530610533014,43200,-122.36753432018811,48.24860364633015,530579521003.0
b2b-51935,39600,530539400101,43200,-122.30653677963012,47.21171695998523,530539400101.0
b2b-53021,22200,530530732004,43200,-122.24497881306635,46.91507326147312,20012.0
b2b-57840,35400,530330305011,43200,-122.22514817909456,47.34588590290883,530330305011.0
b2b-45687,37800,530330253012,43200,-122.2011114736376,47.51926391009713,530330253012.0
b2b-53101,33000,530610537001,43200,-121.19835975276254,48.11551522486367,20127.0
b2b-17512,34800,530330218033,43200,-122.20322758297308,47.7605970555543,530330218033.0
b2b-36126,38400,530610519121,43200,-122.14047986750576,47.78935600104972,530610519121.0
b2b-53333,45000,530330292061,43200,-122.22513682781825,47.431742240111376,530330292061.0
b2b-8708,34200,530330238011,43200,-122.18912103078463,47.6091380246081,530330238011.0
b2b-47370,41400,530530717041,43200,-122.4713758582036,47.162114316313975,530530717041.0
b2b-60942,27000,530530726032,43200,-122.77381803555257,47.184454997543526,530670110001.0
b2b-9954,35400,530610537001,43200,-121.19835975276254,48.11551522486367,20066.0
b2b-36697,27600,530530626001,43200,-122.48142674423129,47.22315676250872,530530626001.0
b2b-54729,39000,530530732003,43200,-122.24070890083723,46.779553754471394,410050215002.0
b2b-46527,34200,530330292061,43200,-122.22834520138616,47.42187038261192,530330292061.0
b2b-30797,34200,530330284024,43200,-122.32605107640192,47.44369649531482,530330284024.0
b2b-49300,29400,530530732003,43200,-122.24070890083723,46.779553754471394,410050210002.0
b2b-33771,39600,530530701001,43200,-121.54325521381088,47.1154042142104,20009.0
b2b-56224,18600,530330315022,43200,-121.9621803930871,47.20033465179281,530330315022.0
b2b-55859,9600,530530730061,43200,-122.3464165120801,46.92550674265296,410670329012.0
b2b-44550,24600,530610509003,43200,-122.34079715664308,47.77858204747406,530610509003.0
b2b-14986,36600,530330218021,43200,-122.18809767200028,47.77243398044491,530330218021.0
b2b-29825,31200,530330109001,43200,-122.31615434494384,47.5337116992969,530330109001.0
b2b-7807,25800,530610533023,43200,-122.32300048530058,48.28861516761415,530579516003.0
b2b-53560,37200,530610535091,43200,-122.15577642818684,48.15652609289869,530610535091.0
b2b-18487,14400,530330262001,43200,-122.21687413762376,47.44960652627248,530330262001.0
b2b-47661,9600,530530733013,43200,-122.23083304849064,47.22194523187283,530530733013.0
b2b-54762,26400,530330303132,43200,-122.30590062664312,47.29634204750628,530330303132.0
b2b-21561,34200,530610533014,43200,-122.36753432018811,48.24860364633015,530579519002.0
b2b-58490,40800,530530715034,43200,-122.46671446578436,47.14991896611966,530530715034.0
b2b-16145,34800,530330109001,43200,-122.30471374153352,47.53323210364925,530330109001.0
b2b-11807,30000,530530701001,43200,-121.54325521381088,47.1154042142104,20095.0
b2b-42076,23400,530530701001,43200,-121.54325521381088,47.1154042142104,20118.0
b2b-3588,25800,530610413042,43200,-122.24520847642002,47.92654436050197,530610413042.0
b2b-25701,34800,530330292061,43200,-122.24472160310586,47.43301366786744,530330292061.0
b2b-29524,42600,530610533014,43200,-122.36753432018811,48.24860364633015,530730002002.0
b2b-28681,21000,530530732003,43200,-122.24070890083723,46.779553754471394,410470025021.0
b2b-47855,33000,530530626001,43200,-122.45055140915566,47.23431899930199,530530626001.0
b2b-21826,47400,530530732003,43200,-122.24070890083723,46.779553754471394,410510072021.0
b2b-12606,27000,530330218021,43200,-122.18411232021498,47.77651939619263,530330218021.0
b2b-52590,25800,530330292061,43200,-122.22834520138616,47.42187038261192,530330292061.0
b2b-30113,25200,530539400022,43200,-122.39688590845752,47.24395008519793,530539400022.0
b2b-9936,35400,530610537001,43200,-121.19835975276254,48.11551522486367,20066.0
b2b-54230,45000,530530732004,43200,-122.24497881306635,46.91507326147312,20014.0
b2b-13607,28200,530330277015,43200,-122.464060417817,47.43416720518161,530330277015.0
b2b-25508,25200,530610413042,43200,-122.25255143142964,47.9246191361956,530610413042.0
b2b-23054,30600,530530703133,43200,-122.19080910682456,47.198029089038144,530530703133.0
b2b-33057,10800,530530732004,43200,-122.24497881306635,46.91507326147312,20012.0
b2b-50799,30000,530530729061,43200,-122.55058881309056,47.05402215230165,530419710003.0
b2b-56853,21000,530530732003,43200,-122.24070890083723,46.779553754471394,530110413171.0
b2b-52456,36000,530330292061,43200,-122.22834520138616,47.42187038261192,530330292061.0
b2b-55173,42000,530330320111,43200,-122.02526422994526,47.368468563369326,530330320111.0
b2b-12505,35400,530330323133,43200,-122.0834278878703,47.67577485264337,530330323133.0
b2b-29783,44400,530330093003,43200,-122.33781074015684,47.57150093310607,530330093003.0
b2b-16827,23400,530330228033,43200,-122.1249824309002,47.64467116789906,530330228033.0
b2b-35291,29400,530610534001,43200,-122.1788962996328,48.270180743276,530730102002.0
b2b-579,18600,530610537001,43200,-121.19835975276254,48.11551522486367,530630116001.0
b2b-3378,33000,530530732003,43200,-122.24070890083723,46.779553754471394,410050221081.0
b2b-20217,24000,530530726032,43200,-122.77381803555257,47.184454997543526,530670110001.0
b2b-60651,31200,530330284024,43200,-122.32205675998875,47.44153151233887,530330284024.0
b2b-18439,30600,530330105005,43200,-122.38830386022074,47.56118978395354,530330105005.0
b2b-9660,16800,530530701001,43200,-121.54325521381088,47.1154042142104,20009.0
